"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"Blindspot","NBC",": Season 1",,80,6.8,"Drama","Action & Adventure","September 21, 2015",238
"Minority Report (2015)","FOX",": Season 1",51,80,,"Drama","Science Fiction","September 21, 2015",118
"Scream Queens (2015)","FOX",": Season 1",59,90,7.8,"Comedy","Drama","September 22, 2015",375
"Empire (2015)","ABC,FOX",": Season 2",,83,,"Drama","Music",,103
"Limitless (2015)","CBS",": Season 1",57,83,7.5,"Drama","Suspense","September 22, 2015",270
"Rosewood","FOX",": Season 1",,,,"Drama","Action & Adventure","September 23, 2015",90
"Heroes: Reborn","NBC",": Season 1",53,83,,"Drama","Action & Adventure","September 24, 2015",217
"The Player","NBC",": Season 1",43,75,7.2,"Drama","Action & Adventure","September 24, 2015",82
"Quantico","ABC",": Season 1",,80,,"Drama","Suspense","September 27, 2015",256
"Blood & Oil","ABC",": Season 1",48,80,6.8,"Drama",,"September 27, 2015",66
"You, Me and the Apocalypse","NBC,Sky1",": Season 1",,90,7.4,"Comedy","Drama",,91
"Ascension","Syfy",": Season 1",56,70,6.8,"Drama","Action & Adventure","December 15, 2014",141
"Satisfaction (2014)","USA",": Season 1",,91,6.7,"Drama",,"July 17, 2014",64
"Manhattan Love Story","ABC,HULU",": Season 1",42,80,,"Comedy","Drama",,60
"Stalker","CBS",": Season 1",,75,7.4,"Drama","Suspense","October 1, 2014",153
"Gracepoint","FOX",": Season 1",,91,7.6,"Drama","Suspense","October 2, 2014",82
"Homeland","SHOWTIME",": Season 4",,80,7.8,"Drama","Suspense","October 5, 2014",256
"The Flash (2014)","The CW,CW",": Season 1",,83,7.8,"Drama","Action & Adventure",,819
"Grantchester","PBS,ITV",": Season 1",,90,7.6,"Drama","Suspense",,31
"The Walking Dead","AMC",": Season 5",,91,7.1,"Drama","Action & Adventure","October 12, 2014",912
"Kingdom (2014)","Sky Sports,DirecTV,Audience Network",": Season 1",,91,8.3,"Drama",,,56
"The Affair","SHOWTIME",": Season 1",,91,7.4,"Drama",,"October 12, 2014",259
"Jane the Virgin","The CW,CW",": Season 1",,91,7.8,"Comedy","Drama",,177
"Big Driver","LIFETIME",": Season 1",56,75,,"Drama","Movie/Mini-Series","October 18, 2014",13
"Constantine (2014)","NBC",": Season 1",53,83,8.1,"Drama","Action & Adventure","October 24, 2014",322
"A Poet In New York","BBC America",": Season 1",,80,,"Drama","Movie/Mini-Series","October 29, 2014",14
"Olive Kitteridge","HBO",": Season 1",,90,8.2,"Drama","Movie/Mini-Series","November 2, 2014",156
"The Game (2014)","BBC America",": Season 1",,91,7.6,"Drama","Movie/Mini-Series","November 5, 2014",38
"The Newsroom","HBO",": Season 3",,91,7.9,"Drama",,"November 9, 2014",90
"The Missing","Starz,BBC One",": Season 1",,90,8,"Drama","Suspense",,151
"Babylon","Channel 4,Sundance Channel",": Season 1",,91,8.7,"Comedy","Drama",,28
"State of Affairs","NBC",": Season 1",43,75,,"Drama",,"November 17, 2014",97
"Grumpy Cat's Worst Christmas Ever","LIFETIME",": Season 1",,80,,"Comedy","Drama","November 29, 2014",26
"One Child","Sundance Channel",": Season 1",60,83,,"Drama","Movie/Mini-Series","December 5, 2014",12
"The Librarians (2014)","ABC,TNT",": Season 1",,83,7.4,"Drama","Action & Adventure",,123
"Marco Polo (2014)","Netflix",": Season 1",48,70,8,"Drama","Action & Adventure","December 12, 2014",518
"You're the Worst","FX,FXX",": Season 1",,90,8,"Comedy","Drama",,173
"The Lottery","LIFETIME",": Season 1",60,83,6.1,"Drama","Science Fiction","July 20, 2014",53
"Manhattan","WGN America",": Season 1",,91,7.8,"Drama",,"July 27, 2014",122
"The Knick","Cinemax",": Season 1",,91,8.4,"Drama","Science","August 8, 2014",277
"The Killing","AMC,Netflix",": Season 4",53,91,8,"Drama","Suspense",,95
"Outlander (2014)","Starz",": Season 1",,83,8.3,"Drama","Action & Adventure","August 9, 2014",344
"BoJack Horseman","Netflix",": Season 1",59,80,8.5,"Comedy","Animation","August 22, 2014",647
"Legends","TNT",": Season 1",59,83,7.3,"Drama",,"August 13, 2014",110
"Doctor Who","BBC-1,BBC,BBC America,BBC One",": Season 8",,80,7,"Comedy","Drama",,343
"Intruders","BBC America",": Season 1",47,80,6.1,"Drama","Suspense","August 23, 2014",58
"Breathless","PBS,ITV",": Season 1",,80,7.8,"Drama",,,17
"Houdini","The History Channel",": Season 1",51,75,7.2,"Drama","Movie/Mini-Series","September 1, 2014",47
"Boardwalk Empire","HBO",": Season 5",,90,8.4,"Drama",,"September 7, 2014",144
"Sons of Anarchy","FX",": Season 7",,75,6.3,"Drama","Action & Adventure","September 9, 2014",156
"Z Nation","Syfy",": Season 1",48,75,6.5,"Drama","Action & Adventure","September 12, 2014",241
"Deliverance Creek","LIFETIME",": Season 1",57,75,8.1,"Drama","Movie/Mini-Series","September 13, 2014",24
"Red Band Society","FOX",": Season 1",58,88,7.2,"Drama",,"September 17, 2014",114
"Downton Abbey","PBS,ITV1,ITV",": Season 5",,91,7.2,"Drama",,,73
"The Mysteries of Laura","NBC",": Season 1",,,,"Comedy","Drama","September 17, 2014",104
"Madam Secretary","CBS",": Season 1",,91,,"Drama",,"September 21, 2014",206
"The Good Wife","CBS",": Season 6",,90,8.5,"Drama",,"September 21, 2014",140
"Gotham","FOX",": Season 1",,91,7.5,"Drama","Action & Adventure","September 22, 2014",756
"Scorpion","CBS",": Season 1",48,80,,"Drama","Action & Adventure","September 22, 2014",291
"Forever (2014)","ABC",": Season 1",54,75,8.3,"Drama","Fantasy","September 22, 2014",319
"NCIS: New Orleans","CBS",": Season 1",55,75,,"Comedy","Drama","September 23, 2014",92
"Black-ish","ABC",": Season 1",,91,6.2,"Comedy","Drama","September 24, 2014",127
"How to Get Away With Murder","ABC",": Season 1",,83,7.7,"Drama",,"September 25, 2014",411
"Transparent","Amazon Instant Video,AMAZON",": Season 1",,91,7.4,"Comedy","Drama",,280
"Black Mirror","Channel 4,Netflix,Audience Network",": Season 5",,90,,"Drama","Science Fiction",,199
"Empire (2015)","ABC,FOX",": Season 1",,91,7,"Drama","Music",,210
"Hindsight","VH1",": Season 1",,80,7.6,"Drama",,"January 7, 2015",33
"Girls","HBO",": Season 4",,90,6.2,"Comedy","Drama","January 11, 2015",94
"Looking","HBO",": Season 2",,91,8,"Comedy","Drama","January 11, 2015",54
"12 Monkeys (2015)","Syfy",": Season 1",57,75,8.3,"Drama","Action & Adventure","January 16, 2015",262
"Justified","FX",": Season 6",,90,8.4,"Drama","Action & Adventure","January 20, 2015",152
"Whitney (2015)","LIFETIME",": Season 1",54,75,,"Drama","Movie/Mini-Series","January 17, 2015",28
"Wolf Hall","PBS,BBC Two",": Season 1",,91,7.5,"Drama",,,81
"Backstrom","FOX",": Season 1",51,91,7.7,"Comedy","Drama","January 22, 2015",126
"The Americans","FX",": Season 3",,91,8.5,"Drama",,"January 28, 2015",362
"Sons of Liberty","The History Channel",": Season 1",,80,6.5,"Drama","Movie/Mini-Series","January 25, 2015",39
"Fortitude","pivot,Amazon Prime",": Season 1",,80,7.2,"Drama","Horror",,108
"Beautiful & Twisted","LIFETIME",": Season 1",46,,,"Drama","Movie/Mini-Series","January 31, 2015",6
"Allegiance (2015)","NBC",": Season 1",57,75,,"Drama","Action & Adventure","February 5, 2015",72
"The Slap (2015)","NBC",": Season 1",,91,,"Drama","Movie/Mini-Series","February 12, 2015",81
"Bosch","Amazon Instant Video",": Season 1",,83,8.2,"Drama",,"February 13, 2015",126
"Vikings","History,The History Channel",": Season 3",,91,7.1,"Drama","Action & Adventure",,324
"Indian Summers","PBS,Channel 4",": Season 1",,90,,"Drama",,,30
"House of Cards (2013)","Netflix",": Season 3",,91,7.3,"Drama",,"February 27, 2015",467
"Secrets and Lies","ABC",": Season 1",48,75,7.6,"Drama",,"March 1, 2015",80
"Battle Creek","CBS",": Season 1",,80,7.5,"Comedy","Drama","March 1, 2015",101
"Billy & Billie","Audience Network",": Season 1",,75,8.3,"Comedy","Drama","March 3, 2015",13
"Broadchurch","BBC America,ITV",": Season 2",,83,6.9,"Drama","Suspense",,131
"The Book of Negroes","CBC,BET",": Season 1",,80,6.6,"Drama","Movie/Mini-Series",,24
"Eye Candy","MTV - Music Television",": Season 1",54,75,7.9,"Drama","Suspense","January 12, 2015",78
"Marvel's Agent Carter","ABC,FOX",": Season 1",,91,7.8,"Drama","Action & Adventure",,308
"Rosemary's Baby","NBC",": Season 1",51,80,,"Drama","Movie/Mini-Series","May 11, 2014",56
"Star-Crossed","The CW",": Season 1",50,80,7.6,"Drama","Science Fiction","February 17, 2014",124
"JFK: The Smoking Gun","ReelzChannel",": Season 1",51,,,"Drama","Movie/Mini-Series","November 3, 2013",9
"Almost Human","FOX",": Season 1",,88,8.5,"Drama","Action & Adventure","November 17, 2013",344
"An Adventure in Space and Time","BBC America,BBC Two",": Season 1",,91,7.3,"Drama",,,57
"Mob City","TNT",": Season 1",,80,8.1,"Drama",,"December 4, 2013",103
"Bonnie & Clyde","LIFETIME,A&E,History,Lifetime/A&E/History",": Season 1",54,75,,"Drama","Movie/Mini-Series",,40
"Sherlock","BBC-1,PBS,BBC",": Season 3",,90,8.5,"Drama","Suspense",,782
"The Assets","ABC",": Season 1",58,91,,"Drama","Movie/Mini-Series","January 2, 2014",30
"The Bletchley Circle","PBS,ITV",": Season 2",,88,8.4,"Drama",,,13
"Killer Women","ABC",": Season 1",49,83,,"Drama","Action & Adventure","January 7, 2014",42
"Being Mary Jane (2014)","BET",": Season 1",,80,7.7,"Animation","Drama","January 7, 2014",16
"Justified","FX",": Season 5",,91,8.4,"Drama","Action & Adventure","January 7, 2014",193
"Intelligence (2013)","CBS",": Season 1",56,75,6.3,"Drama","Action & Adventure","January 7, 2014",106
"Chicago P.D.","NBC",": Season 1",50,75,7.7,"Drama","Action & Adventure","January 8, 2014",102
"Helix","Syfy",": Season 1",,83,6.2,"Drama","Horror","January 10, 2014",197
"Girls","HBO",": Season 3",,83,6.4,"Comedy","Drama","January 12, 2014",106
"Bitten","Syfy",": Season 1",59,70,7,"Drama","Action & Adventure","January 13, 2014",136
"Flowers in the Attic","LIFETIME",": Season 1",49,75,6.9,"Drama","Movie/Mini-Series","January 18, 2014",34
"The Musketeers","BBC,SHOWCASE,BBC America,BBC One",": Season 1",,83,7.5,"Drama","Action & Adventure",,39
"Looking","HBO",": Season 1",,83,8,"Comedy","Drama","January 19, 2014",153
"The Following","FOX",": Season 2",44,70,,"Drama","Action & Adventure","January 19, 2014",103
"Klondike (2014)","Discovery Channel",": Season 1",,80,,"Drama","Movie/Mini-Series","January 20, 2014",50
"Rake (2014)","FOX",": Season 1",,83,6.9,"Comedy","Drama","January 23, 2014",76
"Black Sails","Starz",": Season 1",58,83,7.2,"Drama","Action & Adventure","January 25, 2014",438
"House of Cards (2013)","Netflix",": Season 2",,90,8.6,"Drama",,"February 14, 2014",644
"Fleming: The Man Who Would Be Bond","BBC America,Sky",": Season 1",,91,7.4,"Drama","Movie/Mini-Series",,44
"The Americans","FX",": Season 2",,91,8.6,"Drama",,"February 26, 2014",364
"Mind Games (2014)","ABC",": Season 1",44,75,7.7,"Drama",,"February 25, 2014",34
"Vikings","History,The History Channel",": Season 2",,91,7.5,"Drama","Action & Adventure",,359
"The Red Road","Sundance Channel",": Season 1",,91,8.6,"Drama","Action & Adventure","February 27, 2014",65
"Hannibal","NBC",": Season 2",,91,8.9,"Drama","Horror","February 28, 2014",720
"Bates Motel","A&E",": Season 2",,80,7.9,"Drama","Suspense","March 3, 2014",160
"Those Who Kill","A&E,LMN,A&E/LMN",": Season 1",54,80,7.2,"Drama","Action & Adventure",,60
"Resurrection","ABC",": Season 1",60,88,7.3,"Drama","Fantasy","March 9, 2014",124
"From Dusk Till Dawn: The Series","El Rey Network",": Season 1",,80,7,"Comedy","Drama","March 11, 2014",101
"Believe","NBC",": Season 1",55,83,7.3,"Drama","Fantasy","March 10, 2014",140
"The 100","The CW,CW",": Season 1",,91,6.8,"Drama","Action & Adventure",,671
"Da Vinci's Demons","Starz",": Season 2",,75,7.8,"Drama","Fantasy","March 22, 2014",58
"Friends with Better Lives","CBS",": Season 1",45,75,6.5,"Comedy","Drama","March 31, 2014",63
"Turn: Washington's Spies","AMC",": Season 1",,83,8.1,"Drama","Action & Adventure","April 6, 2014",158
"Mad Men","AMC",": Season 7",,91,8.7,"Drama",,"April 13, 2014",210
"Orphan Black","BBC America",": Season 2",,91,7.5,"Drama","Science Fiction","April 19, 2014",285
"Salem","WGN America",": Season 1",49,80,7.4,"Drama","Fantasy","April 20, 2014",132
"Faking It (2014)","MTV - Music Television",": Season 1",,91,8.4,"Comedy","Drama","April 22, 2014",87
"Black Box","ABC",": Season 1",44,91,,"Drama",,"April 24, 2014",95
"Happy Valley","BBC,Netflix,BBC One",": Season 1",,91,8.4,"Drama","Suspense",,110
"Playing House","USA",": Season 1",,75,7.4,"Comedy","Drama","April 29, 2014",45
"24: Live Another Day","FOX",": Season 9",,83,8.7,"Drama","Action & Adventure","May 5, 2014",180
"In The Flesh","BBC America,BBC Three",": Season 2",,91,8.1,"Drama","Horror",,61
"Labyrinth","The CW",": Season 1",42,80,,"Drama","Movie/Mini-Series","May 22, 2014",17
"Penny Dreadful","SHOWTIME,SYA",": Season 1",,83,8.3,"Drama","Fantasy",,473
"Gang Related","FOX",": Season 1",52,80,7.1,"Drama","Action & Adventure","May 22, 2014",69
"The Normal Heart","HBO",": Season 1",,91,7.9,"Drama","Movie/Mini-Series","May 25, 2014",156
"The Night Shift","NBC",": Season 1",45,63,7.8,"Comedy","Drama","May 27, 2014",68
"Crossbones","NBC",": Season 1",56,80,7.1,"Drama","Action & Adventure","May 30, 2014",78
"Halt and Catch Fire","AMC",": Season 1",,83,8.4,"Drama",,"June 1, 2014",242
"Power","Starz",": Season 1",57,80,7.4,"Drama",,"June 7, 2014",100
"Murder in the First","TNT",": Season 1",,83,6.6,"Drama","Action & Adventure","June 9, 2014",71
"Chasing Life","ABC Family,Freeform",": Season 1",59,80,8.1,"Drama",,,28
"Rectify","SundanceTV",": Season 2",,90,9.1,"Drama",,"June 19, 2014",317
"True Blood","HBO",": Season 7",54,70,,"Drama","Fantasy","June 22, 2014",90
"The Last Ship","TNT",": Season 1",60,83,7.1,"Drama","Action & Adventure","June 22, 2014",242
"Tyrant","FX",": Season 1",54,91,7.8,"Drama","Action & Adventure","June 24, 2014",183
"Taxi Brooklyn","NBC,TF1,LA1",": Season 1",51,83,6.3,"Comedy","Drama",,46
"Outlaw Prophet: Warren Jeffs","LIFETIME",": Season 1",,80,,"Drama","Movie/Mini-Series","June 28, 2014",6
"The Leftovers","HBO",": Season 1",,80,7.5,"Drama",,"June 29, 2014",731
"Under the Dome","CBS",": Season 2",52,70,,"Drama","Action & Adventure","June 30, 2014",132
"Reckless","CBS",": Season 1",46,83,6.9,"Drama",,"June 29, 2014",34
"The Honorable Woman","BBC Two,Sundance Channel,SundanceTV",": Season 1",,91,8,"Drama","Action & Adventure",,117
"Extant","CBS",": Season 1",,80,6.5,"Drama","Fantasy","July 9, 2014",191
"Finding Carter","MTV - Music Television",": Season 1",,91,7.4,"Drama",,"July 8, 2014",52
"The Bridge (2013)","FX",": Season 2",,83,8.2,"Drama","Action & Adventure","July 9, 2014",44
"The Strain","FX",": Season 1",,80,7.5,"Drama","Horror","July 13, 2014",440
"Ray Donovan","SHOWTIME",": Season 2",,90,7.4,"Drama","Action & Adventure","July 13, 2014",78
"Masters of Sex","SHOWTIME",": Season 2",,90,7.3,"Drama",,"July 13, 2014",139
"Matador","El Rey Network",": Season 1",,75,,"Drama","Action & Adventure","July 15, 2014",23
"Crisis","NBC",": Season 1",,91,7,"Drama","Action & Adventure","March 16, 2014",88
"Rush (2014)","USA",": Season 1",45,70,7.1,"Drama",,"July 17, 2014",53
"Sleepy Hollow","FOX",": Season 1",,91,7.6,"Drama","Action & Adventure","September 16, 2013",278
"Magic City","Starz",": Season 2",,80,8.1,"Drama","Action & Adventure","June 14, 2013",13
"The White Queen","BBC,Starz",": Season 1",,88,7.7,"Drama",,,66
"Bates Motel","A&E",": Season 1",,88,7.8,"Drama","Suspense","March 18, 2013",444
"In The Flesh","BBC America,BBC Three",": Season 1",,90,8.1,"Drama","Horror",,103
"Phil Spector","HBO",": Season 1",60,90,,"Drama","Movie/Mini-Series","March 24, 2013",46
"Top Of The Lake","Sundance Channel,SundanceTV",": Season 1",,90,7,"Drama","Movie/Mini-Series",,212
"Orphan Black","BBC America",": Season 1",,90,8.3,"Drama","Science Fiction","March 30, 2013",544
"Hannibal","NBC",": Season 1",,90,8.6,"Drama","Horror","April 4, 2013",1071
"Mad Men","AMC",": Season 6",,88,8.5,"Drama",,"April 7, 2013",299
"Rogue","DirecTV,Audience Network",": Season 1",47,75,6.7,"Drama",,,23
"Da Vinci's Demons","Starz",": Season 1",,88,7.7,"Drama","Fantasy","April 12, 2013",190
"Nurse Jackie","SHOWTIME",": Season 5",,80,7.1,"Drama",,"April 14, 2013",26
"Endeavour","PBS,ITV,ITV-EU",": Season 1",,80,8.1,"Drama",,,42
"The Borgias","SHOWTIME",": Season 3",,83,6.8,"Drama",,"April 14, 2013",65
"Defiance","Syfy",": Season 1",57,83,7.4,"Drama","Action & Adventure","April 15, 2013",293
"Alpha House","Amazon Instant Video",": Season 1",,90,6.8,"Comedy","Drama","April 19, 2013",53
"Rectify","SundanceTV",": Season 1",,90,8.9,"Drama",,"April 22, 2013",445
"The Fall","RTE One,BBC Two,Netflix",": Season 1",,90,7.6,"Drama","Suspense",,145
"Brooklyn DA","CBS,CBS News",": Season 1",,70,7.5,"Drama","Reality",,12
"The Killing","AMC,Netflix",": Season 3",,83,8.3,"Drama","Suspense",,169
"The Fosters","ABC Family,Freeform",": Season 1",,83,8.2,"Drama",,,107
"Mistresses (2013)","ABC",": Season 1",42,80,6.3,"Drama",,"June 3, 2013",65
"Graceland","USA",": Season 1",58,80,7.2,"Drama","Action & Adventure","June 6, 2013",99
"Falling Skies","TNT",": Season 3",,70,7.2,"Drama","Action & Adventure","June 9, 2013",88
"King & Maxwell","TNT",": Season 1",56,80,6.4,"Drama",,"June 10, 2013",57
"Twisted","ABC Family",": Season 1",,80,7.6,"Drama","Suspense","June 11, 2013",38
"True Blood","HBO",": Season 6",58,83,,"Drama","Fantasy","June 16, 2013",132
"Crossing Lines","NBC,Amazon Prime,Prime Video",": Season 1",58,75,7,"Drama",,,72
"Jodi Arias: Dirty Little Secret","LIFETIME",": Season 1",52,75,,"Drama","Movie/Mini-Series","June 22, 2013",16
"Under the Dome","CBS",": Season 1",,88,,"Drama","Action & Adventure","June 24, 2013",486
"Devious Maids","LIFETIME",": Season 1",,80,7.6,"Comedy","Drama","June 23, 2013",74
"Ray Donovan","SHOWTIME",": Season 1",,90,7.6,"Drama","Action & Adventure","June 30, 2013",275
"Dexter","SHOWTIME",": Season 8",,88,,"Drama","Suspense","June 30, 2013",496
"Being Mary Jane","BET - Black Entertainment Television",": Season 1",,80,,"Drama","Movie/Mini-Series","July 2, 2013",10
"Siberia","NBC",": Season 1",,80,7.6,"Drama","Reality","July 1, 2013",58
"Camp","NBC",": Season 1",51,83,7.9,"Comedy","Drama","July 10, 2013",56
"Luther","BBC-1,BBC,BBC America,BBC One",": Season 3",,90,,"Drama","Suspense",,169
"Orange is the New Black","Netflix",": Season 1",,90,8.4,"Comedy","Drama","July 11, 2013",897
"The Bridge (2013)","FX",": Season 1",,88,7.8,"Drama","Action & Adventure","July 10, 2013",198
"The Newsroom","HBO",": Season 2",,91,7.5,"Drama",,"July 14, 2013",154
"Suits","USA",": Season 3",,83,8.1,"Drama",,"July 16, 2013",145
"Debbie Macomber's Cedar Cove","Hallmark Channel",": Season 1",,75,,"Drama",,"July 20, 2013",22
"The Vineyard","ABC Family",": Season 1",47,83,,"Drama","Reality","July 23, 2013",29
"Broadchurch","BBC America,ITV",": Season 1",,91,8.2,"Drama","Suspense",,344
"Please Like Me","ABC - Australian Broadcasting Corporation Television,pivot",": Season 1",,88,8.3,"Comedy","Drama",,59
"Strike Back","Sky One,Cinemax",": Season 4",,91,8.2,"Drama","Action & Adventure",,22
"Hell on Wheels","AMC",": Season 3",,75,8.1,"Drama",,"August 10, 2013",64
"Low Winter Sun","AMC",": Season 1",60,91,7.1,"Drama",,"August 11, 2013",109
"Boardwalk Empire","HBO",": Season 4",,91,8.5,"Drama",,"September 8, 2013",218
"Ghost Shark","Syfy",": Season 1",,,,"Drama","Movie/Mini-Series","August 22, 2013",19
"Sons of Anarchy","FX",": Season 6",,90,7.2,"Drama","Action & Adventure","September 10, 2013",172
"Downton Abbey","PBS,ITV1,ITV",": Season 4",,80,7.3,"Drama",,,108
"The Hollow Crown","PBS,BBC Two",": Season 1",,90,6.8,"Drama","Action & Adventure",,55
"The Blacklist","NBC",": Season 1",,83,7.8,"Drama","Action & Adventure","September 23, 2013",530
"Hostages","CBS",": Season 1",,83,,"Drama","Action & Adventure","September 23, 2013",131
"Lucky 7","ABC",": Season 1",49,75,,"Drama",,"September 24, 2013",38
"Marvel's Agents of S.H.I.E.L.D","ABC",": Season 1",,83,6.8,"Drama","Action & Adventure","September 24, 2013",921
